
============================================================
STAGE 1 TCN FORECASTER | 2026-05-13 18:07:29
Window: 6 | Epoch: 250 | Batch: 4
============================================================
Epoch  204/250 | MSE: 0.0365183 | LR: 5.00e-04
Epoch  205/250 | MSE: 0.0556253 | LR: 5.00e-04
Epoch  206/250 | MSE: 0.0348981 | LR: 5.00e-04
Epoch  207/250 | MSE: 0.0308210 | LR: 5.00e-04
Epoch  208/250 | MSE: 0.0312208 | LR: 5.00e-04
Epoch  209/250 | MSE: 0.0372997 | LR: 5.00e-04
Epoch  210/250 | MSE: 0.0448597 | LR: 5.00e-04
Epoch  211/250 | MSE: 0.0323973 | LR: 5.00e-04
Epoch  212/250 | MSE: 0.0353381 | LR: 5.00e-04
Epoch  213/250 | MSE: 0.0330009 | LR: 5.00e-04
Epoch  214/250 | MSE: 0.0292797 | LR: 5.00e-04
Epoch  215/250 | MSE: 0.0288493 | LR: 5.00e-04
Epoch  216/250 | MSE: 0.0335111 | LR: 5.00e-04
Epoch  217/250 | MSE: 0.0377989 | LR: 5.00e-04
Epoch  218/250 | MSE: 0.0288749 | LR: 5.00e-04
Epoch  219/250 | MSE: 0.0309045 | LR: 5.00e-04
Epoch  220/250 | MSE: 0.0289053 | LR: 5.00e-04
Epoch  221/250 | MSE: 0.0334624 | LR: 5.00e-04
Epoch  222/250 | MSE: 0.0298647 | LR: 5.00e-04
Epoch  223/250 | MSE: 0.0300203 | LR: 5.00e-04
Epoch  224/250 | MSE: 0.0240490 | LR: 2.50e-04
Epoch  225/250 | MSE: 0.0362943 | LR: 2.50e-04
Epoch  226/250 | MSE: 0.0245092 | LR: 2.50e-04
Epoch  227/250 | MSE: 0.0254019 | LR: 2.50e-04
Epoch  228/250 | MSE: 0.0264699 | LR: 2.50e-04
Epoch  229/250 | MSE: 0.0374067 | LR: 2.50e-04
Epoch  230/250 | MSE: 0.0248639 | LR: 2.50e-04
Epoch  231/250 | MSE: 0.0374475 | LR: 2.50e-04
Epoch  232/250 | MSE: 0.0232114 | LR: 2.50e-04
Epoch  233/250 | MSE: 0.0327024 | LR: 2.50e-04
Epoch  234/250 | MSE: 0.0267329 | LR: 2.50e-04
Epoch  235/250 | MSE: 0.0267351 | LR: 2.50e-04
Epoch  236/250 | MSE: 0.0267951 | LR: 2.50e-04
Epoch  237/250 | MSE: 0.0238913 | LR: 2.50e-04
Epoch  238/250 | MSE: 0.0228466 | LR: 2.50e-04
Epoch  239/250 | MSE: 0.0206850 | LR: 2.50e-04
Epoch  240/250 | MSE: 0.0205325 | LR: 2.50e-04
Epoch  241/250 | MSE: 0.0351635 | LR: 2.50e-04
Epoch  242/250 | MSE: 0.0374531 | LR: 2.50e-04
Epoch  243/250 | MSE: 0.0315774 | LR: 2.50e-04
Epoch  244/250 | MSE: 0.0249871 | LR: 2.50e-04
Epoch  245/250 | MSE: 0.0337448 | LR: 2.50e-04
Epoch  246/250 | MSE: 0.0286258 | LR: 2.50e-04
Epoch  247/250 | MSE: 0.0289183 | LR: 2.50e-04
Epoch  248/250 | MSE: 0.0305350 | LR: 2.50e-04
Epoch  249/250 | MSE: 0.0226806 | LR: 2.50e-04
Epoch  250/250 | MSE: 0.0216242 | LR: 2.50e-04
   → Checkpoint: checkpoints_stage1\checkpoint_epoch_250.pth
=== STAGE 1 SELESAI ===

model_stage1_forecaster.pth disimpan
